title,views,likes,comments,engagement_rate,published_at,url
Calm Cafe Jazz Radio 🌳🦉☕️ cozy summer coffee shop ambience to relax/study/work to,2826210,11193,0,0.4,2025-01-15T21:06:50Z,https://www.youtube.com/watch?v=LTFEmIIOvNQ
Christmas Coffee Shop Bookstore Ambience with Instrumental Jazz Christmas Music & Fireplace,944240,11369,1085,1.32,2023-11-22T19:27:22Z,https://www.youtube.com/watch?v=ner_DA0HZts
"Fall Library Cafe Ambience with Calm Jazz Music & Rain for Studying, Focus, & Relaxation",915251,11359,899,1.34,2024-09-06T18:53:01Z,https://www.youtube.com/watch?v=Chs2mKwsha4
Summer Coffee Shop Bookstore Ambience - Feel Good Jazz for a Sunny Day,853767,7966,495,0.99,2025-06-11T15:22:33Z,https://www.youtube.com/watch?v=YTDqU4R07Zc
A Christmas Cafe Ambience with Christmas Jazz Music & Crackling Fire [2025 Remaster] [No Mid Ads],710289,8019,1585,1.35,2025-11-12T16:28:59Z,https://www.youtube.com/watch?v=zI_W7rz3eXE
Monster Mash Halloween Bash 🎃 ~ Halloween Lofi Mix [NO AI - NO ADS],638198,5331,536,0.92,2024-09-29T18:31:44Z,https://www.youtube.com/watch?v=Wwk7oJRUhqQ
"Summer Campfire Ambience at Frog Lake with Crackling Fire, Frogs, Crickets, & Summer Night Sounds",635824,5537,416,0.94,2024-06-09T18:13:30Z,https://www.youtube.com/watch?v=dNOCqKDTZUc
Cozy Fall Pie Shop Ambience - Feel Good Autumn Jazz & Rain - No Mid Roll Ads,611838,10117,1114,1.84,2025-08-17T19:42:29Z,https://www.youtube.com/watch?v=arYLOCYn7Kw
"Cafe by the Sea - Calm Bossa Nova Jazz, Waves, & Mediterranean Birds",557933,5196,632,1.04,2024-04-16T18:19:53Z,https://www.youtube.com/watch?v=dBK32CGipXw
"Cozy Ski Lodge Cafe: Warm Winter Jazz Playlist, Crackling Fire, & Coffee Shop Ambience",546835,4882,603,1.0,2024-01-17T16:00:32Z,https://www.youtube.com/watch?v=bTnFW5QDTkE
Cozy Jazz on a Rainy Night at the Sleepy Owl Inn ~ [no mid-roll ads],457925,5554,448,1.31,2025-02-16T19:49:57Z,https://www.youtube.com/watch?v=X5Ve8zFOkRU
The Christmas Coffee Shop On Main Street ~ 🎄 Cozy Christmas Jazz Ambience,298363,3991,812,1.61,2025-11-24T18:36:23Z,https://www.youtube.com/watch?v=eetIrEoqGrU
"Peaceful Spring Cottage Ambience with Babbling Brook & Birdsong for Relaxation, Focus, & Sleep",266524,4510,468,1.87,2024-02-24T19:04:37Z,https://www.youtube.com/watch?v=AHFnMi-D698
Soothing Summer Rain on the Porch with Soft Distant Thunder - Summer Rain Ambience for Relax & Sleep,253634,3994,374,1.72,2024-07-07T17:00:34Z,https://www.youtube.com/watch?v=iwhGUAmxX6g
Sunset Beach Bossa Ambience – Relaxing Bossa Nova with Waves & Tropical Birds [no mid-roll ads],239986,2783,305,1.29,2025-04-06T19:04:17Z,https://www.youtube.com/watch?v=FiV_RpftWn4
❄️ A Winter Night at the Sleepy Owl Inn 🦉 ~ Solo Jazz Piano by the Fire ~  [no mid-roll ads],221397,2677,356,1.37,2026-01-21T18:44:03Z,https://www.youtube.com/watch?v=Gx2qDprzzpI
Haunted Barn Dance 🎃👻 ~ Halloween Lofi Mix  [NO AI - NO ADS],207010,3841,562,2.13,2025-09-24T20:06:43Z,https://www.youtube.com/watch?v=ys5oO7ONBvI
🌸 Spring Bookstore Coffee Shop Ambience - Feel Good Jazz for a Sunny Day [No Mid-Roll Ads],176053,2196,245,1.39,2026-03-15T17:51:08Z,https://www.youtube.com/watch?v=pvFO7LZLLqw
Spring Meadow Ambience ~ Cloud Watching by a Lazy River ~ [no mid roll ads],100506,2260,250,2.5,2026-03-01T20:18:09Z,https://www.youtube.com/watch?v=lqk56f7aLVU
"Calm Cafe Summer Jazz Radio 🌴🌊 sunny seaside coffee shop ambience to relax, study, work to",73788,880,0,1.19,2026-03-09T18:18:41Z,https://www.youtube.com/watch?v=GYDiC8K1R-Y
Coastal Summer Cafe Ambience – Breezy Jazz & Soft Ocean Waves [No Mid Roll Ads],65348,1395,243,2.51,2026-06-19T17:37:16Z,https://www.youtube.com/watch?v=tSaqaCqtZH8
Listening to Muffled Christmas Music From Another Room,53607,1791,79,3.49,2023-12-18T20:49:29Z,https://www.youtube.com/watch?v=U0MUANmx4cM
Cozy Campfire Ambience | Summer Night Lake House Campfire Ambience,48484,1412,261,3.45,2026-04-29T18:27:53Z,https://www.youtube.com/watch?v=nFLd-1ANGNo
🌳📚 Summer Bookstore Jazz Radio  📻🦉 ~ No Mid Roll Ads & No AI,21840,475,0,2.17,2026-07-15T04:17:27Z,https://www.youtube.com/watch?v=cvlZw67cXSQ
🎄🦉 ⛸️ The Christmas Coffee Shop On Main Street,10166,557,58,6.05,2025-12-04T19:19:38Z,https://www.youtube.com/watch?v=rh6SjiAl0No
